id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
133,18-29,Masculino,PB,Cubati,Zona Rural,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
134,30-44,Masculino,PB,Santa Rita,Popular,1961.0,Castanhos,Nenhuma das opções,Não,Divorciado (a),João Pessoa,2020-03-20T23:00:00.000+0000,0
135,45-59,Masculino,PB,Catingueira,Centro,982.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,2022-11-24T22:00:00.000+0000,0
136,30-44,Masculino,PB,João Pessoa,Ernani Sátiro,-1.0,Castanhos,Lisos,Não,Casado (a),Desconhecido,Desconhecido,0
137,60+,Masculino,PB,Cajazeiras,Altiplano Cabo Branco,547.0,Castanhos,Ondulados,Não,Casado (a),Mamanguape,2024-02-03T14:00:00.000+0000,0
138,0-11,Masculino,SP,SAO PAULO,Alto da Boa Vista,2427.0,Pretos,Ondulados,Não,Solteiro (a),Bayeux,2018-12-11T10:00:00.000+0000,0
139,30-44,Masculino,PE,Cabo de Santo Agostinho,Campo dos Alemães,1597.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Conde,2021-03-20T18:00:00.000+0000,0
140,12-17,Masculino,PB,Campina Grande,Nações,1134.0,Pretos,Encaracolados,Não,Solteiro (a),Campina Grande,2022-06-25T20:00:00.000+0000,0
141,18-29,Masculino,PB,Cabedelo,bananeiras,724.0,Pretos,Encaracolados,Não,Solteiro (a),Cabedelo,2023-08-09T21:10:00.000+0000,0
142,60+,Feminino,PB,Cacimba de Dentro,Bairro Palmeira,1936.0,Verdes,Lisos,Não,Viúvo (a),Desconhecido,2020-04-14T23:40:00.000+0000,0
143,60+,Masculino,PB,joão Pessoa,Manaíra,1884.0,Pretos,Encaracolados,Não,Solteiro (a),João Pessoa,2020-06-06T16:13:00.000+0000,0
144,12-17,Feminino,RJ,Rio de Janeiro,Santo Antônio,1314.0,Castanhos,Lisos,Sim,Solteiro (a),Patos,2021-12-28T00:00:00.000+0000,0
145,30-44,Masculino,PB,João Pessoa,13 de maio,-1.0,Castanhos,Encaracolados,Não,Casado (a),Desconhecido,Desconhecido,0
