id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
263,30-44,Masculino,PB,João Pessoa,Aeroclube,-1.0,Castanhos,Encaracolados,Não,Casado (a),Desconhecido,Desconhecido,0
264,18-29,Feminino,PB,Bayeux,Centro,1375.0,Castanhos,Lisos,Não,Casado (a),Bayeux,2021-10-27T22:00:00.000+0000,0
265,45-59,Masculino,MA,SAO SEBASTIAO,Jardim Elba,1751.0,Azuis,Lisos,Não,Solteiro (a),João Pessoa,2020-10-17T19:40:00.000+0000,0
266,45-59,Masculino,PE,Recife,Zona rural,1436.0,Castanhos,Nenhuma das opções,Não,Casado (a),Aroeiras,2021-08-28T17:30:00.000+0000,0
267,60+,Masculino,PB,Cajazeiras,zona rural,-1.0,Castanhos,Carapinha,Não,Casado (a),Desconhecido,Desconhecido,0
268,18-29,Masculino,PB,Campina grande,Velame,847.0,Castanhos,Ondulados,Não,Solteiro (a),Campina Grande,2023-04-09T00:08:00.000+0000,0
269,60+,Masculino,PB,Campina Grande,Catolé,878.0,Castanhos,Nenhuma das opções,Não,Casado (a),Campina Grande,2023-03-09T14:00:00.000+0000,0
270,30-44,Masculino,PB,Campina Grande,Sandra Cavalcante,-1.0,Castanhos,Nenhuma das opções,Não,Casado (a),Desconhecido,Desconhecido,0
271,18-29,Masculino,PB,João Pessoa,Torre,1529.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2021-05-27T13:00:00.000+0000,0
272,45-59,Masculino,PB,MARI,CENTRO,1640.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2021-02-04T22:00:00.000+0000,0
273,18-29,Masculino,PB,Araruna,CENTRO,1436.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2021-08-28T10:00:00.000+0000,0
274,30-44,Masculino,PB,São Paulo,Portal do Sol,1482.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2021-07-13T10:30:00.000+0000,0
275,12-17,Masculino,PB,João Pessoa,Jardim Aeroporto,737.0,Castanhos,Encaracolados,Sim,Solteiro (a),Bayeux,2023-07-28T06:30:00.000+0000,0
276,30-44,Feminino,PE,VICENCIA,SESI,860.0,Pretos,Ondulados,Não,Viúvo (a),Bayeux,2023-03-27T09:00:00.000+0000,0
277,60+,Masculino,PB,Campina Grande,Jaguaribe,1929.0,Pretos,Lisos,Não,Divorciado (a),João Pessoa,2020-04-22T16:30:00.000+0000,0
278,0-11,Feminino,PB,João Pessoa,Marcos Moura,-1.0,Castanhos,Encaracolados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
279,12-17,Feminino,PB,Itabaiana,Brejinho,1947.0,Castanhos,Lisos,Não,Solteiro (a),Itabaiana,2020-04-04T02:30:00.000+0000,0
280,60+,Masculino,PB,Sousa,Tambauzinho,527.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2024-02-23T17:55:00.000+0000,0
281,60+,Feminino,CE,Fortaleza,Camboinha II,578.0,Azuis,Lisos,Não,Casado (a),Cabedelo,2024-01-03T18:30:00.000+0000,0
282,12-17,Masculino,MA,Penalva,CENTRO,-1.0,Pretos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
283,60+,Feminino,PB,Itabaiana,Nova Descoberta,1639.0,Castanhos,Lisos,Sim,Viúvo (a),João Pessoa,2021-02-06T12:00:00.000+0000,0
284,60+,Masculino,PB,João Pessoa,Manaíra,1060.0,Azuis,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2022-09-08T08:00:00.000+0000,0
285,30-44,Masculino,PB,João Pessoa,Ernani Sátiro,8674.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2001-11-03T09:00:00.000+0000,0
286,12-17,Feminino,PB,João Pessoa,Centro,-1.0,Pretos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
287,30-44,Feminino,PB,junco do serido,Louzeiro,1999.0,Pretos,Encaracolados,Não,Solteiro (a),Campina Grande,2020-02-11T21:00:00.000+0000,0
288,45-59,Masculino,PB,Itaporanga,ALTO DAS NEVES,677.0,Castanhos,Nenhuma das opções,Não,Divorciado (a),Desconhecido,2023-09-26T10:00:00.000+0000,0
289,18-29,Masculino,PB,Sapé,Ipês,1560.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2021-04-26T13:30:00.000+0000,0
290,18-29,Masculino,PB,Ibiara,Ibiara,760.0,Castanhos,Nenhuma das opções,Não,União Estável,Ibiara,2023-07-05T00:03:00.000+0000,0
291,30-44,Masculino,PE,Recife,Valentina de Figueiredo,1011.0,Castanhos,Carapinha,Não,Solteiro (a),João Pessoa,2022-10-26T21:25:00.000+0000,0
292,30-44,Masculino,PB,Belém do Brejo do Cruz,Comercial Norte,706.0,Castanhos,Carapinha,Não,Solteiro (a),Bayeux,2023-08-28T08:00:00.000+0000,0
293,18-29,Masculino,AM,Manaus,Amazônino mendes,1502.0,Castanhos,Ondulados,Não,Solteiro (a),Cabedelo,2021-06-22T20:00:00.000+0000,0
294,0-11,Masculino,PB,João Pessoa,Mangabeira,2287.0,Nenhuma das opções,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2019-04-30T19:30:00.000+0000,0
295,0-11,Masculino,PB,Queimadas,Loteamento Luna,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
296,0-11,Masculino,PB,Esperança,CENTRO,1441.0,Verdes,Ondulados,Sim,Solteiro (a),Esperança,2021-08-22T21:00:00.000+0000,0
297,60+,Masculino,PE,Afogados da Ingazeira,Serrano,4688.0,Castanhos,Lisos,Não,Casado (a),João Pessoa,2012-10-02T03:00:00.000+0000,0
298,12-17,Feminino,PB,CUITÉ,CENTRO,703.0,Pretos,Ondulados,Sim,Solteiro (a),Solânea,2023-08-31T14:30:00.000+0000,0
299,60+,Feminino,PB,Campina Grande,Bodocongó,1626.0,Castanhos,Carapinha,Não,Solteiro (a),Campina Grande,2021-02-19T10:00:00.000+0000,0
300,12-17,Feminino,PB,João Pessoa,Mangabeira,1631.0,Pretos,Encaracolados,Sim,Solteiro (a),João Pessoa,2021-02-13T21:00:00.000+0000,0
301,12-17,Feminino,PB,JOAO PESSOA,Varjão,1525.0,Castanhos,Encaracolados,Não,Solteiro (a),João Pessoa,2021-05-31T14:30:00.000+0000,0
302,0-11,Feminino,PB,Campina Grande,Alto Branco,846.0,Castanhos,Encaracolados,Sim,Solteiro (a),Campina Grande,2023-04-10T16:30:00.000+0000,0
303,45-59,Masculino,PB,Campina Grande,José Pinheiro,-1.0,Verdes,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
304,60+,Feminino,PB,João Pessoa,Mandacaru,779.0,Pretos,Lisos,Não,Viúvo (a),João Pessoa,2023-06-16T10:00:00.000+0000,0
305,60+,Feminino,PB,João Pessoa,Brisamar,1277.0,Castanhos,Lisos,Não,Divorciado (a),João Pessoa,2022-02-02T22:30:00.000+0000,0
306,12-17,Feminino,PB,Campina Grande,Acácio Figueiredo,1914.0,Castanhos,Encaracolados,Não,Solteiro (a),Campina Grande,2020-05-06T20:11:00.000+0000,0
307,12-17,Masculino,SC,Joinville,Miramar,2255.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2019-05-31T22:15:00.000+0000,0
308,45-59,Feminino,BA,Ribeira do Amparo,Beijar Flor,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
309,30-44,Masculino,PB,Baía da Traição,ZONA RURAL,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
310,18-29,Masculino,PB,Campina Grande,Castelo Branco,988.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,2022-11-18T23:00:00.000+0000,0
311,18-29,Feminino,PB,Patos,Jatobá,1632.0,Pretos,Lisos,Sim,Solteiro (a),Patos,2021-02-13T08:00:00.000+0000,0
312,60+,Masculino,PB,Campina Grande,Torre,428.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2024-06-01T17:46:00.000+0000,0
313,30-44,Masculino,PE,Solanea,Cajá,1346.0,Castanhos,Ondulados,Não,Solteiro (a),Solânea,2021-11-26T17:00:00.000+0000,0
314,30-44,Masculino,RN,Natal,Ernesto Geisel,-1.0,Castanhos,Ondulados,Sim,Casado (a),João Pessoa,0222-11-03T17:36:00.000+0000,0
315,45-59,Masculino,PI,Teresina,Tomás Coelho,1331.0,Castanhos,Nenhuma das opções,Não,Divorciado (a),João Pessoa,2021-12-11T01:15:00.000+0000,0
316,18-29,Masculino,PB,Sousa,Estação,-1.0,Castanhos,Nenhuma das opções,Sim,Solteiro (a),Desconhecido,Desconhecido,0
317,30-44,Masculino,SP,Guarulhos,Municípios,488.0,Castanhos,Carapinha,Não,Solteiro (a),Santa Rita,2024-04-02T08:30:00.000+0000,0
318,45-59,Feminino,PB,Itaporanga,Centro,-1.0,Pretos,Encaracolados,Não,Casado (a),Desconhecido,Desconhecido,0
319,45-59,Masculino,PB,Serido,Centro,-1.0,Castanhos,Encaracolados,Não,Casado (a),Desconhecido,Desconhecido,0
320,30-44,Masculino,PB,João Pessoa,Ernesto Geisel,1102.0,Pretos,Lisos,Não,Casado (a),João Pessoa,2022-07-28T00:00:00.000+0000,0
321,60+,Masculino,PB,Pombal,Nova vida,1913.0,Castanhos,Nenhuma das opções,Não,Casado (a),Pombal,2020-05-08T19:30:00.000+0000,0
322,0-11,Feminino,PB,João Pessoa,Grotão,772.0,Castanhos,Ondulados,Não,Divorciado (a),João Pessoa,2023-06-23T19:10:00.000+0000,0
323,30-44,Feminino,PR,João pessoa,Jaguaribe,722.0,Castanhos,Encaracolados,Sim,Solteiro (a),João Pessoa,2023-08-12T01:00:00.000+0000,0
324,30-44,Masculino,PB,Patos,Santo Antônio,1958.0,Verdes,Lisos,Não,Solteiro (a),Patos,2020-03-24T15:28:00.000+0000,0
325,18-29,Masculino,PB,João Pessoa,Centro,755.0,Pretos,Encaracolados,Não,Solteiro (a),João Pessoa,2023-07-10T17:30:00.000+0000,0
326,60+,Masculino,RO,Porto Velho,Aeroclube,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
327,30-44,Masculino,CE,Fortaleza,Itararé,1865.0,Castanhos,Lisos,Sim,Solteiro (a),Campina Grande,2020-06-25T02:13:00.000+0000,0
328,45-59,Masculino,PB,Campina Grande,SAO JOSE DA MATA,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
329,30-44,Feminino,PB,João Pessoa,Mangabeira,8257.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2002-12-25T14:30:00.000+0000,0
330,30-44,Feminino,PE,Recife,Municípios,456.0,Castanhos,Ondulados,Não,Casado (a),Santa Rita,2024-05-04T18:00:00.000+0000,0
331,18-29,Masculino,PR,Umuarama,centro,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
332,12-17,Feminino,PB,João Pessoa,CENTRO,-1.0,Pretos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
333,45-59,Masculino,PB,Patos,Gramame,1062.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2022-09-06T06:00:00.000+0000,0
334,0-11,Masculino,SC,Petrolândia,Murta,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
335,60+,Masculino,PB,Guarabira,Nordeste,476.0,Pretos,Nenhuma das opções,Sim,Solteiro (a),Guarabira,2024-04-13T23:00:00.000+0000,0
336,30-44,Masculino,SP,Ipiranga,Torre,1215.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2022-04-06T10:15:00.000+0000,0
337,12-17,Feminino,PB,SANTA RITA,MARCOS MOURA,1840.0,Castanhos,Lisos,Não,Solteiro (a),Santa Rita,2020-07-20T11:00:00.000+0000,0
338,30-44,Feminino,PB,Sesi,Sesi,1963.0,Pretos,Lisos,Não,Solteiro (a),Bayeux,2020-03-19T16:00:00.000+0000,0
339,45-59,Masculino,PB,Campina Grande,Três irmãs,-1.0,Castanhos,Ondulados,Não,Casado (a),Desconhecido,Desconhecido,0
340,30-44,Masculino,PB,João Pessoa,Manaíra,1442.0,Castanhos,Lisos,Não,Divorciado (a),João Pessoa,2021-08-21T21:00:00.000+0000,0
341,18-29,Masculino,PB,Mari,PASTO NOVO,1743.0,Pretos,Carapinha,Não,Solteiro (a),Mari,2020-10-24T21:30:00.000+0000,0
342,30-44,Masculino,PB,João Pessoa,Velame,1454.0,Castanhos,Lisos,Não,Casado (a),Campina Grande,2021-08-09T21:00:00.000+0000,0
343,12-17,Masculino,PB,João Pessoa,Jaguaribe,-1.0,Castanhos,Encaracolados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
344,45-59,Masculino,PR,Telemaco Borba,Cabo Branco,1620.0,Castanhos,Ondulados,Não,Divorciado (a),João Pessoa,2021-02-25T11:30:00.000+0000,0
345,18-29,Masculino,PB,São José de Piranhas,Barraginha,1856.0,Castanhos,Encaracolados,Não,Solteiro (a),Desconhecido,2020-07-03T20:00:00.000+0000,0
346,30-44,Masculino,PB,João Pessoa,Centro,1266.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2022-02-14T15:30:00.000+0000,0
347,30-44,Masculino,PB,Mari,ZONA RURAL,1489.0,Pretos,Ondulados,Não,Solteiro (a),Mari,2021-07-06T17:00:00.000+0000,0
348,30-44,Masculino,PB,Guarabira,Lucas porpino,-1.0,Castanhos,Encaracolados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
349,60+,Feminino,PB,Puxinanã,José Pinheiro,1852.0,Castanhos,Lisos,Não,Divorciado (a),Campina Grande,2020-07-08T01:57:00.000+0000,0
350,45-59,Masculino,PB,St caranguegeira,Caranguejeira,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
351,Não informado,Masculino,PB,João Pessoa,Centro,1257.0,Castanhos,Ondulados,Sim,Solteiro (a),João Pessoa,2022-02-23T13:25:00.000+0000,0
352,18-29,Feminino,SP,GUARULHOS,ZONA RURAL,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
353,45-59,Feminino,PB,João Pessoa,Centro,-1.0,Pretos,Nenhuma das opções,Não,Divorciado (a),Desconhecido,Desconhecido,0
354,18-29,Masculino,PB,Sapé,Coqueiros,-1.0,Castanhos,Carapinha,Não,Solteiro (a),Desconhecido,Desconhecido,0
355,30-44,Masculino,PB,Solânea,Zona Rural,1907.0,Pretos,Encaracolados,Não,Solteiro (a),Solânea,2020-05-13T21:30:00.000+0000,0
356,30-44,Masculino,RJ,Niterói,Bairro da Caixa Economica,1079.0,Castanhos,Lisos,Não,Divorciado (a),Desconhecido,2022-08-20T19:00:00.000+0000,0
357,12-17,Feminino,PB,Joao pessoa,Paratibe,1490.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2021-07-05T12:20:00.000+0000,0
358,18-29,Transexual,RJ,Rio de Janeiro,Sesi,1340.0,Castanhos,Lisos,Não,Solteiro (a),Bayeux,2021-12-02T18:58:00.000+0000,0
359,60+,Masculino,PB,Bananeiras,centro,-1.0,Castanhos,Ondulados,Não,Casado (a),Desconhecido,Desconhecido,0
360,60+,Feminino,PB,João Pessoa,Estados,-1.0,Castanhos,Encaracolados,Não,Divorciado (a),Desconhecido,Desconhecido,0
361,60+,Masculino,RJ,Rio de Janeiro,Botafogo,1086.0,Castanhos,Lisos,Não,Casado (a),Gurjão,2022-08-13T13:30:00.000+0000,0
362,30-44,Masculino,PB,Campina Grande,Jardim Tavares,2047.0,Castanhos,Carapinha,Sim,Solteiro (a),Campina Grande,2019-12-26T12:00:00.000+0000,0
363,18-29,Outro,RN,Jardim do Seridó,Sesi,1503.0,Castanhos,Ondulados,Não,Solteiro (a),Bayeux,2021-06-22T11:00:00.000+0000,0
364,12-17,Feminino,PB,João Pessoa,Gramame,1650.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,2021-01-25T20:50:00.000+0000,0
365,30-44,Feminino,SP,taubate,Jardim Independência,532.0,Castanhos,Ondulados,Sim,Solteiro (a),Assunção,2024-02-18T15:20:00.000+0000,0
366,12-17,Masculino,PB,Cacimba de Dentro,Mandacaru,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
367,60+,Feminino,PB,Campina Grande,Jardim Tavares,1684.0,Verdes,Lisos,Não,Viúvo (a),Desconhecido,2020-12-23T15:59:00.000+0000,0
368,30-44,Masculino,PB,João Pessoa,Não sei,955.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,2022-12-22T10:00:00.000+0000,0
369,30-44,Masculino,PB,Pau dos ferros,Nossa senhora de lurdes,1178.0,Castanhos,Ondulados,Não,União Estável,Uiraúna,2022-05-12T22:57:00.000+0000,0
370,12-17,Masculino,PB,João Pessoa,JACARAPÉ,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
371,12-17,Masculino,PB,Santa Rita,SANTA LUZIA,1909.0,Pretos,Lisos,Não,Solteiro (a),Sapé,2020-05-12T18:00:00.000+0000,0
372,45-59,Masculino,AL,Arapiraca,Primavera,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
373,45-59,Masculino,RN,Carnaúba dos Dantas,Centro,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
374,12-17,Feminino,PB,Campina Grande,Catolé,492.0,Castanhos,Encaracolados,Não,Solteiro (a),Campina Grande,2024-03-29T17:50:00.000+0000,0
375,12-17,Masculino,PB,Patos,Centro,1803.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Maturéia,2020-08-26T10:30:00.000+0000,0
376,18-29,Masculino,CE,Acopiara,Centro,715.0,Pretos,Lisos,Não,Solteiro (a),Pocinhos,2023-08-19T17:30:00.000+0000,0
377,30-44,Masculino,PB,Patos,Bivar Olinto,1119.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Patos,2022-07-10T22:00:00.000+0000,0
378,0-11,Masculino,PB,Cuité,Zona rural cuité,1694.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Cuité,2020-12-13T03:00:00.000+0000,0
379,12-17,Masculino,PB,João Pessoa,Jaguaribe,-1.0,Pretos,Encaracolados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
380,30-44,Masculino,SP,Ferraz de Vasconcelos,Araxá,1462.0,Pretos,Lisos,Não,União Estável,Campina Grande,2021-08-02T19:15:00.000+0000,0
381,45-59,Masculino,PB,Puxinanã,Centro,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
382,60+,Masculino,PB,Sapé,Popular,1599.0,Pretos,Lisos,Não,Viúvo (a),Santa Rita,2021-03-18T09:00:00.000+0000,0
383,60+,Masculino,PB,João Pessoa,Mangabeira,433.0,Castanhos,Nenhuma das opções,Não,Casado (a),João Pessoa,2024-05-27T12:00:00.000+0000,0
384,18-29,Masculino,PB,Guarabira,SITIO,-1.0,Castanhos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
385,12-17,Masculino,PB,Patos,FREI DAMIAO,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
386,60+,Masculino,PB,Alhandra,Torre,-1.0,Pretos,Ondulados,Sim,Casado (a),Desconhecido,Desconhecido,0
